"weight";"word";"color";"url"
"4";"Python";"";""
"3";"Bash";"";""
"3";"Git";"";""
"3";"JavaScript";"";""
"3";"Jupyter";"";""
"3";"Linux";"";""
"3";"Pandas";"";""
"3";"PySpark";"";""
"2";"CSS";"";""
"2";"Django";"";""
"2";"Docker";"";""
"2";"ExpressJS";"";""
"2";"Flask";"";""
"2";"Hadoop";"";""
"2";"Hive";"";""
"2";"HTML";"";""
"2";"IDEA";"";""
"2";"Jenkins";"";""
"2";"jQuery";"";""
"2";"MachineLearning";"";""
"2";"MongoDB";"";""
"2";"ReactJS";"";""
"2";"Scikit-Learn";"";""
"2";"SQL";"";""
"2";"Statistik";"";""
"2";"VSCode";"";""
"1";"Bootstrap";"";""
"1";"Confluence";"";""
"1";"Exasol";"";""
"1";"Grafana";"";""
"1";"Impala";"";""
"1";"Jira";"";""
"1";"Kanban";"";""
"1";"LaTeX";"";""
"1";"Maple";"";""
"1";"Mathematica";"";""
"1";"Matlab";"";""
"1";"Matplotlib";"";""
"1";"NodeJS";"";""
"1";"NumPy";"";""
"1";"PostgreSQL";"";""
"1";"Redis";"";""
"1";"Scrum";"";""
"1";"SCSS";"";""
"1";"Selenium";"";""
"1";"Simulations";"";""
"1";"Tableau";"";""
"1";"WebPack";"";""
